NATASHA AHMED,SAN JOSE,18,Admin influenza virus vac,,53,no,12,
KHALIQ A. SHAH,SANTA CLARA,21,Admin influenza virus vac,,13,no,7,
NICOLAS E. MAKHOUL,PLEASANT HILL,19,Admin influenza virus vac,,94,no,10,
SARAH N. TORRES,PALO ALTO,10,Admin influenza virus vac,,18,no,11,
MARIA ANDRAE-HAMMOND,ORINDA,7,Admin influenza virus vac,,31,no,7,
PATTI YANKLOWITZ,PALO ALTO,29,Admin influenza virus vac,,60,no,15,
RICHARD M. GERBER,SAN FRANCISCO,34,Admin influenza virus vac,,76,no,9,
WILLIAM S. ANDERECK,SAN FRANCISCO,40,Admin influenza virus vac,,49,no,14,
ROBERT J. DEITZ,SAN FRANCISCO,,Admin influenza virus vac,,45,no,8,
"GARFIELD BEACH CVS, L.L.C.",SAN RAFAEL,,Admin influenza virus vac,,185,no,15,
LEO SIFFLET,SAN JOSE,57,Admin influenza virus vac,,30,no,14,
LEAH TESSLER,SAN FRANCISCO,19,Admin influenza virus vac,,36,no,8,
DAVID M. TULLY-SMITH,SAN RAFAEL,40,Admin influenza virus vac,,24,no,10,
STEPHEN M. KNOX,SAN FRANCISCO,29,Admin influenza virus vac,,45,no,19,
LESLEY A. DEBRIER,NOVATO,13,Admin influenza virus vac,,13,no,4,
ALVIN D. WONG,SAN FRANCISCO,28,Admin influenza virus vac,,61,no,10,
PATRICK W. PAU,SAN JOSE,48,Admin influenza virus vac,,21,no,5,
MAURA DEVEREUX,SAN FRANCISCO,,Admin influenza virus vac,,43,no,13,
SHU WING CHAN,SAN FRANCISCO,46,Admin influenza virus vac,,70,no,12,
SUNG H. KNUEPPEL,REDWOOD CITY,,Admin influenza virus vac,,20,no,12,
ALPHAEUS M. WISE,WALNUT CREEK,12,Admin influenza virus vac,,29,no,11,
JOHN C. GOOD,OAKLAND,44,Admin influenza virus vac,,140,no,13,
DAVID L. GRIFFITH,SAN JOSE,29,Admin influenza virus vac,,32,no,11,
MARY J. MARTIN,SAN FRANCISCO,7,Admin influenza virus vac,,20,no,8,
PATRICK J. KEARNS,MOUNTAIN VIEW,37,Admin influenza virus vac,,22,no,4,
MARCO PAVESI,FREMONT,37,Admin influenza virus vac,,49,no,12,
HANS YU,SAN FRANCISCO,25,Admin influenza virus vac,,292,no,12,
PAUL KIM,DUBLIN,19,Admin influenza virus vac,,12,no,10,
KATHERINE K. STRELKOFF,SAN FRANCISCO,34,Admin influenza virus vac,,89,no,9,
DEVORAH E. BEN-ZEEV,WALNUT CREEK,23,Admin influenza virus vac,,80,no,10,
CHIU J. YUAN,SAN JOSE,49,Admin influenza virus vac,,85,no,12,
KATHLEEN WISHART,NAPA,,Admin influenza virus vac,,13,no,10,
ARTHUR POLUSSA,LOS GATOS,35,Admin influenza virus vac,,27,no,11,
KAVERI PATEL,FREMONT,14,Admin influenza virus vac,,15,no,11,
SUSAN C. GARAY,MENLO PARK,24,Admin influenza virus vac,,23,no,10,
RUBEN S. VELASQUEZ,VALLEJO,43,Admin influenza virus vac,,47,no,12,
BETSY STRONG,SUNNYVALE,32,Admin influenza virus vac,,52,no,15,
DAVID COHEN,SAN FRANCISCO,54,Admin influenza virus vac,,74,no,12,
JONATHAN NORDLICHT,SAN FRANCISCO,39,Admin influenza virus vac,,32,no,16,
SANDRA WONG,FREMONT,14,Admin influenza virus vac,,18,no,11,
ASHWANI K. BINDAL,FREMONT,37,Admin influenza virus vac,,79,no,12,
LAURA DALTON,BENICIA,15,Admin influenza virus vac,,17,no,5,
CATHARINE T. CLARK-SAYLES,GREENBRAE,35,Admin influenza virus vac,259,157,no,9,
LINDA C. LU,LOS GATOS,13,Admin influenza virus vac,,38,no,9,
RONG SHEN,SAN FRANCISCO,15,Admin influenza virus vac,,45,no,10,
EVAN SEEVAK,OAKLAND,18,Admin influenza virus vac,,45,no,7,
SYDNEY C. CHOSLOVSKY,SAN JOSE,45,Admin influenza virus vac,,67,no,14,
ANURADHA REDDY,MOUNTAIN VIEW,23,Admin influenza virus vac,,18,no,10,
JORGE V. CONTRERAS,SAN JOSE,34,Admin influenza virus vac,,63,no,14,
THOMAS MCDONALD,PALO ALTO,,Admin influenza virus vac,,16,no,11,
RACHEL M. SEAMAN,MENLO PARK,10,Admin influenza virus vac,,52,no,13,
HARVEY SACHS,SAN JOSE,47,Admin influenza virus vac,,21,no,13,
LUCRETIA SONDERER,NAPA,,Admin influenza virus vac,,14,no,10,
MARGARET KRAY,OAKLAND,6,Admin influenza virus vac,,16,no,11,
VIJAY THUKRAL,MILPITAS,38,Admin influenza virus vac,,28,no,6,
STEVE R. LANE,PALO ALTO,28,Admin influenza virus vac,,28,no,13,
SAYEMA A. SAIFULLAH,SANTA CLARA,14,Admin influenza virus vac,,12,no,10,
MARY JANE HUTCHINS,LOS GATOS,38,Admin influenza virus vac,,15,no,8,
LORI M. BELTRAN,OAKLAND,8,Admin influenza virus vac,,22,no,6,
TINA R. SINGH,FAIRFIELD,13,Admin influenza virus vac,,12,no,2,
CHARLES J. ANTONINI,DALY CITY,38,Admin influenza virus vac,340,94,no,11,
AMY BRENDEL,REDWOOD CITY,10,Admin influenza virus vac,,31,no,13,
PAULINE SIAO,REDWOOD CITY,17,Admin influenza virus vac,,13,no,10,
SCOTT MATTHEWS,PALO ALTO,16,Admin influenza virus vac,,47,no,15,
GARY FUJIMOTO,PALO ALTO,35,Admin influenza virus vac,,36,no,10,
ROBINA Y. MOEN,SUNNYVALE,21,Admin influenza virus vac,,24,no,12,
JUSTIN R. GLODOWSKI,SANTA ROSA,,Admin influenza virus vac,,60,no,13,
CHERYL GOLD,PALO ALTO,31,Admin influenza virus vac,,39,no,14,
MICHAEL SU,SUNNYVALE,18,Admin influenza virus vac,,23,no,12,
PHUONG D. DANG,OAKLAND,39,Admin influenza virus vac,,92,no,14,
TINA W. LEUNG,LOS ALTOS,16,Admin influenza virus vac,,11,no,10,
SYLVIA H. HOANG,FREMONT,19,Admin influenza virus vac,,19,no,8,
CONSTANCE J. AYERS,SEBASTOPOL,33,Admin influenza virus vac,,36,no,13,
CARLOS E. ANDERSEN,CONCORD,39,Admin influenza virus vac,692,25,no,6,
ERICA WEIRICH,LOS ALTOS,16,Admin influenza virus vac,,17,no,11,
LILLIAN LEONG,WALNUT CREEK,10,Admin influenza virus vac,,14,no,4,
XIAOGUANG HUANG,OAKLAND,32,Admin influenza virus vac,1010,538,no,9,
NELSON BUNIN,ALBANY,46,Admin influenza virus vac,,25,no,12,
RALEY'S PHARMACY,PETALUMA,,Admin influenza virus vac,,53,no,10,
SHEILA H. HUMPHRIES,LOS ALTOS,23,Admin influenza virus vac,,57,no,12,
VIKTOR NOVIKOV,DANVILLE,9,Admin influenza virus vac,,13,no,9,
JAMES F. LEONI,PETALUMA,31,Admin influenza virus vac,,278,no,16,
DAPHNE MILLER,SAN FRANCISCO,21,Admin influenza virus vac,,11,no,13,
FUSHENG WANG,SAN FRANCISCO,31,Admin influenza virus vac,,12,no,3,
JOSHUA RASSEN,SAN FRANCISCO,,Admin influenza virus vac,,33,no,10,
JEFF TAO,SANTA CLARA,,Admin influenza virus vac,,74,no,16,
SUE J. KNIGHT,SAN RAMON,31,Admin influenza virus vac,,95,no,14,
KIMBERELY CARLSON,MOUNTAIN VIEW,14,Admin influenza virus vac,,25,no,13,
MARLON DECASTRO,SANTA ROSA,17,Admin influenza virus vac,,81,no,15,
ERNEST L. BONNER,ALAMEDA,39,Admin influenza virus vac,,72,no,16,
LOUIS J. CUBBA,SAN FRANCISCO,18,Admin influenza virus vac,,57,no,18,
KATHLEEN L. HORAN,SANTA ROSA,38,Admin influenza virus vac,,23,yes,-5,
LYNDA A. MACKIN,BELMONT,20,Admin influenza virus vac,,16,no,5,
SAFEWAY INC,MILL VALLEY,,Admin influenza virus vac,,618,no,12,
RICHARD E. BATTS,PINOLE,46,Admin influenza virus vac,,64,no,13,
MING-HSIEN WU,FREMONT,50,Admin influenza virus vac,,24,no,12,
ZHI H. HUANG,OAKLAND,,Admin influenza virus vac,,70,no,8,
ELIZABETH K. ZIEMANN,SAN FRANCISCO,7,Admin influenza virus vac,,31,no,11,
STEPHEN E. PRATT,SAN RAMON,,Admin influenza virus vac,,32,no,12,
KENNETH B. MAYBURY,SAN FRANCISCO,22,Admin influenza virus vac,,59,no,14,
MILDRED M. KAWACHI,BERKELEY,40,Admin influenza virus vac,,57,no,16,
ROBERT J. BARTZ,SAUSALITO,33,Admin influenza virus vac,,62,no,9,
BUDD N. SHENKIN,OAKLAND,,Admin influenza virus vac,2665,13,no,-2,
RALEYS,ANTIOCH,,Admin influenza virus vac,,28,no,10,
MICHELLE E. GUY,SAN FRANCISCO,14,Admin influenza virus vac,,17,no,4,
ANJALI CHANANA,FAIRFIELD,23,Admin influenza virus vac,,15,no,10,
TUONG D. DO,SAN FRANCISCO,,Admin influenza virus vac,,25,no,12,
JEANETTE M. WILLIAMS,CALISTOGA,13,Admin influenza virus vac,,38,no,7,
LAKSHMI MYNENI,MOUNTAIN VIEW,28,Admin influenza virus vac,,25,no,7,
JAMES TAYLOR,SAN RAFAEL,28,Admin influenza virus vac,,117,no,15,
HARVEY C. EDELMAN,SAN FRANCISCO,58,Admin influenza virus vac,,49,no,21,
DAVID M. WOODHOUSE,VACAVILLE,33,Admin influenza virus vac,1018,175,no,3,
TERESA CHENG,SUNNYVALE,15,Admin influenza virus vac,,33,no,14,
DHANU KAPOOR,SANTA CLARA,24,Admin influenza virus vac,,14,no,8,
PAUL JEMELIAN,SAN MATEO,24,Admin influenza virus vac,,20,no,11,
SEYMOUR GREENSTEIN,PLEASANT HILL,44,Admin influenza virus vac,269,88,no,8,
LISA A. BOWIE,SAN JOSE,,Admin influenza virus vac,,12,no,8,
CHUNG-YING A. CHEN,SUNNYVALE,15,Admin influenza virus vac,,19,no,12,
RATNASOTHY S. RAJAH,SAN LEANDRO,49,Admin influenza virus vac,,68,no,11,
JONATHAN L. BARASH,SAN FRANCISCO,,Admin influenza virus vac,,18,no,3,
SIMIN SIDDIQ,FREMONT,37,Admin influenza virus vac,,26,no,9,
SHELDON ZITMAN,CUPERTINO,40,Admin influenza virus vac,365,18,no,5,
JAMES A. DAVIS,SAN FRANCISCO,41,Admin influenza virus vac,,100,no,12,
ABRAHAM C. CABEBE,SAN JOSE,34,Admin influenza virus vac,,87,no,15,
GAYATRI KHANNA,SAN FRANCISCO,20,Admin influenza virus vac,,24,no,11,
TRACY A. THOMPSON,DUBLIN,32,Admin influenza virus vac,,57,no,15,
GAIL PYLE,PALO ALTO,18,Admin influenza virus vac,,23,no,12,
FREDERICK J. HASS,SAN RAFAEL,50,Admin influenza virus vac,,39,no,12,
LISA HLADIK,BURLINGAME,5,Admin influenza virus vac,,25,no,13,
RICHARD HO,CASTRO VALLEY,40,Admin influenza virus vac,,45,no,12,
NOB HILL GENERAL STORE INC,SAN JOSE,,Admin influenza virus vac,,18,no,8,
BEATTY H. RAMSAY,SAN MATEO,36,Admin influenza virus vac,,77,no,15,
MICHAEL D. HOLMES,SEBASTOPOL,39,Admin influenza virus vac,,46,no,16,
RAJESH K. RANADIVE,PETALUMA,15,Admin influenza virus vac,,232,no,17,
VIVEK JAIN,SANTA CLARA,16,Admin influenza virus vac,,13,no,10,
LINDA H. FRESCO,MENLO PARK,20,Admin influenza virus vac,,31,no,11,
MICHAEL D. BOYD,MARTINEZ,6,Admin influenza virus vac,,80,no,15,
MARA ADELMAN,NAPA,,Admin influenza virus vac,,11,no,10,
KUTTANCHERI REMA,FREMONT,23,Admin influenza virus vac,,17,no,11,
MICHAEL D. DELANGE,HAYWARD,16,Admin influenza virus vac,,64,no,16,
MIDORI NISHIMURA,MOUNTAIN VIEW,19,Admin influenza virus vac,,17,no,7,
JOCELIZA G. CHAUDHARY,SAN JOSE,20,Admin influenza virus vac,391,38,no,4,
GARFIELD BEACH CVS LLC,SAN JOSE,,Admin influenza virus vac,,12,no,6,
JOLINE HEO,BRENTWOOD,7,Admin influenza virus vac,,25,no,5,
CATHERINE BAKER,PALO ALTO,13,Admin influenza virus vac,,16,no,11,
LEIGH S. KIMBERG,SAN FRANCISCO,,Admin influenza virus vac,,20,no,4,
RAMIRO ZARATE,NAPA,,Admin influenza virus vac,,11,no,10,
GREGORY F. HOOPER,SUNNYVALE,26,Admin influenza virus vac,,16,yes,-3,
MEGAN L. ANCKER,FOSTER CITY,33,Admin influenza virus vac,,400,no,15,
THOMAS E. STILES,SAINT HELENA,44,Admin influenza virus vac,,14,no,3,
IRWIN SHELUB,DALY CITY,,Admin influenza virus vac,,13,no,6,
NATHANIEL W. GLEASON,SAN FRANCISCO,6,Admin influenza virus vac,,12,no,3,
MICHAEL J. MULLIGAN,MOUNTAIN VIEW,28,Admin influenza virus vac,,14,no,9,
FAITH WELLS,LOS ALTOS,26,Admin influenza virus vac,,69,no,16,
BARBARA H. KOSTICK,FREMONT,43,Admin influenza virus vac,,39,no,12,
JULIA S. HOHMAN,WALNUT CREEK,14,Admin influenza virus vac,,37,no,12,
LARRY SLATER,SANTA ROSA,38,Admin influenza virus vac,,26,no,6,
DAVID W. MCCULLOUGH,SAN JOSE,55,Admin influenza virus vac,,22,no,10,
JACKIE A. BOLDS,NEWARK,30,Admin influenza virus vac,,13,no,3,
KEVIN M. WONG,DALY CITY,21,Admin influenza virus vac,,65,yes,1,
CAROL L. LAMB,DANVILLE,29,Admin influenza virus vac,,43,no,8,
NIRMALA KANNAN,HAYWARD,33,Admin influenza virus vac,,97,no,10,
GEORGE K. YEH,SAN JOSE,45,Admin pneumococcal vaccine,,29,no,18,
GALINA BALON,MOUNTAIN VIEW,36,Admin pneumococcal vaccine,,11,no,3,
DUNG M. PHAN,SAN JOSE,,Admin pneumococcal vaccine,,48,no,13,
LORENA H. TAN,LIVERMORE,19,Admin pneumococcal vaccine,604,22,no,4,
WINSTON L. GOH,SAN FRANCISCO,13,Admin pneumococcal vaccine,,21,no,8,
LAWRENCE G. SHORE,SAN FRANCISCO,36,Admin pneumococcal vaccine,,11,no,10,
ANDREW PRODROMOU,SUNNYVALE,17,Admin pneumococcal vaccine,,13,no,3,
ERIK M. GRACER,SAN RAMON,17,Admin pneumococcal vaccine,,14,no,9,
KA KAM CHAN,SAN FRANCISCO,38,Admin pneumococcal vaccine,,21,no,9,
MINH Q. THAI,SAN JOSE,23,Admin pneumococcal vaccine,,35,no,12,
GEOFFREY C. QUINN,SAN FRANCISCO,17,Admin pneumococcal vaccine,,18,no,9,
JAMES YOSS,SAN FRANCISCO,,Admin pneumococcal vaccine,,12,no,4,
MICHAEL C. CHASE,SAN FRANCISCO,42,Admin pneumococcal vaccine,,45,no,11,
CATHERINE WANG,WALNUT CREEK,16,Admin pneumococcal vaccine,,13,no,8,
ULRIKE D. SUJANSKY,SAN MATEO,20,Admin pneumococcal vaccine,,17,no,11,
SETH D. WEISSMAN,MENLO PARK,27,Admin pneumococcal vaccine,,36,no,14,
NHAT V. MAI,SAN JOSE,37,Admin pneumococcal vaccine,258,51,no,11,
RUTH RUBIN,CORTE MADERA,31,Admin pneumococcal vaccine,,27,no,10,
DAVID L. BELK,ALAMEDA,17,Admin pneumococcal vaccine,,17,no,6,
CLARE C. SIU,SAN FRANCISCO,44,Admin pneumococcal vaccine,,13,no,8,
MAUREEN N. MBADIKE-OBIORA,CONCORD,19,Admin pneumococcal vaccine,,19,no,6,
ROBERT B. BENNER,BURLINGAME,38,Admin pneumococcal vaccine,,19,no,7,
ANDREW B. WALLACH,ALBANY,39,Admin pneumococcal vaccine,,43,no,6,
DESIREE ARRETZ,SAN FRANCISCO,,Admin pneumococcal vaccine,,24,no,13,
XIAO (SHANA) YAO,MOUNTAIN VIEW,32,Admin pneumococcal vaccine,,13,no,3,
ROBERT M. LAKE,HAYWARD,33,Admin pneumococcal vaccine,,14,no,5,
DAVID KAWANO,SAN MATEO,31,Admin pneumococcal vaccine,,18,no,9,
JOHN D. ANDREW,GREENBRAE,40,Admin pneumococcal vaccine,,19,no,6,
KHALID A. BAIG,FREMONT,31,Admin pneumococcal vaccine,,18,no,9,
CHAI-KIONG LAU,FREMONT,24,Admin pneumococcal vaccine,,32,no,7,
NAOKO IKEDA,ANTIOCH,11,Admin pneumococcal vaccine,,13,no,9,
RAVIN AGAH,MOUNTAIN VIEW,21,Admin pneumococcal vaccine,,28,no,6,
GURINDER K. RANDHAWA,PLEASANT HILL,33,Admin pneumococcal vaccine,,16,no,6,
CHHAVI MEHTA,BURLINGAME,17,Admin pneumococcal vaccine,,18,no,5,
CHUNG H. LIAO,LOS GATOS,46,Admin pneumococcal vaccine,,12,no,7,
NIGEL S. BRANDSTATER,VALLEJO,29,Admin pneumococcal vaccine,,24,no,8,
SWATI H. MUNGEKAR,LOS GATOS,15,Admin pneumococcal vaccine,,11,no,7,
ROBERT RUSSO,REDWOOD CITY,19,Admin pneumococcal vaccine,,21,no,5,
STEPHEN J. WHITGOB,BERKELEY,42,Admin pneumococcal vaccine,,12,no,10,
LORETA KALISH,WALNUT CREEK,34,Admin pneumococcal vaccine,,46,no,12,
JENNIFER G. ROSS,SAN FRANCISCO,24,Admin pneumococcal vaccine,,12,no,9,
DELTA DRUG COMPANY INC,RIO VISTA,,"Afluria vacc, 3 yrs & >, im",,35,no,10,
JIIN T. LIN,FREMONT,35,"Afluria vacc, 3 yrs & >, im",,162,no,14,
"POINT PHARMACY, INC.",POINT RICHMOND,,"Afluria vacc, 3 yrs & >, im",,14,no,2,
"LARK DRUGS PHARMACY, INC.",GUERNEVILLE,,"Afluria vacc, 3 yrs & >, im",,33,no,7,
JOHN F. RIEDEL,WALNUT CREEK,45,After cataract laser surgery,,64,no,8,
MARK VOLPICELLI,MOUNTAIN VIEW,29,After cataract laser surgery,,76,no,14,
RICHARD J. HARPER,GILROY,37,After cataract laser surgery,,38,no,10,
CHI-HUA M. FANG,WALNUT CREEK,26,After cataract laser surgery,,83,no,15,
ROBERT MASI,SAN JOSE,42,After cataract laser surgery,,26,no,7,
KEVIN J. DENNY,SAN FRANCISCO,34,After cataract laser surgery,,19,no,8,
BRUCE H. BERN,SAN MATEO,33,After cataract laser surgery,,26,no,14,
SOPHIA T. TSAI,ALAMEDA,16,After cataract laser surgery,,30,no,6,
KENNETH C. CHERN,BURLINGAME,22,After cataract laser surgery,,20,no,11,
STEPHEN G. TURNER,SAN LEANDRO,46,After cataract laser surgery,,26,no,8,
DAVID F. CHANG,LOS ALTOS,34,After cataract laser surgery,,101,no,18,
LEE K. SCHWARTZ,SAN FRANCISCO,,After cataract laser surgery,,20,no,10,
VANESSA M. OPPENLANDER,HALF MOON BAY,,Agriflu vaccine,,14,no,7,
RONALD H. BERMAN,SAN PABLO,50,Agriflu vaccine,,81,no,13,
GARY W. PEER,LIVERMORE,33,Agriflu vaccine,,71,no,9,
THOMAS D. LEI,SAN JOSE,29,Airway inhalation treatment,,23,no,12,
DARYA SOTO,NOVATO,20,Airway inhalation treatment,,11,no,4,
LAWRENCE A. EPSTEIN,MOUNTAIN VIEW,53,Airway inhalation treatment,1220,25,yes,-12,
RICHARD CHALKER,PALO ALTO,28,Airway inhalation treatment,,19,no,5,
MELISSA C. WONG,SAN FRANCISCO,6,Alanine amino (ALT) (SGPT),,14,no,5,
RICHARD J. DARLING,BURLINGAME,,Alanine amino (ALT) (SGPT),,31,no,10,
JAN O. SONANDER,SANTA ROSA,30,Albuterol non-comp unit,,19,no,5,
BRAD ANGEJA,BURLINGAME,18,Ambulatory BP monitoring,,11,no,6,
JEAN GORDON,MOUNTAIN VIEW,42,Aminolevulinic acid hcl top,,13,no,8,
JEFFREY A. WEST,OAKLAND,26,Aminophyllin 250 MG inj,,117,no,18,
DEEPU NAIR,MOUNTAIN VIEW,13,Aminophyllin 250 MG inj,,11,no,11,
MARINA SWEE,CASTRO VALLEY,20,Anes ther interven rad art,,18,no,7,
WARREN GEE,CASTRO VALLEY,12,Anes ther interven rad art,,13,no,7,
JAMES SHU,CASTRO VALLEY,11,Anes ther interven rad art,,25,no,10,
LAWRENCE M. HOLM,CASTRO VALLEY,33,Anes ther interven rad art,,16,no,9,
YANG SUN,SAN FRANCISCO,32,Anesth anorectal surgery,,16,no,6,
ROBERT J. ZELLMER,NAPA,,Anesth anorectal surgery,,12,no,7,
ERIC L. HUCZKO,SANTA ROSA,16,Anesth bladder surgery,,22,no,11,
RICHARD GLASER,OAKLAND,,Anesth blepharoplasty,,11,no,5,
BLAIR A. HALLIDAY,SANTA ROSA,30,Anesth blepharoplasty,,18,no,5,
RICHARD L. KATZ,SAN JOSE,27,Anesth blepharoplasty,,15,no,7,
JONATHAN COHEN,NAPA,28,Anesth blepharoplasty,,18,no,6,
VIJAYALAKSHMI M. REDDY,FREMONT,,Anesth blepharoplasty,,18,no,8,
WILLIAM D. ARMSTRONG,SEBASTOPOL,,Anesth blepharoplasty,,36,no,14,
SUSAN E. PUORRO,SAN RAFAEL,32,Anesth blepharoplasty,,18,no,10,
KEVIN G. KAISER,WALNUT CREEK,30,Anesth cabg w/pump,,22,no,7,
EMILY E. REINYS,OAKLAND,,Anesth cabg w/pump,,13,no,8,
ROBERT B. FISHER,REDWOOD CITY,36,Anesth cardiac electrophys,,49,no,10,
MARGARET A. MCEVOY,SANTA ROSA,25,Anesth cardiac electrophys,,12,no,9,
MICHAEL A. MUNDELL,SANTA ROSA,42,Anesth cardiac electrophys,,14,no,8,
MARK M. AHN,GILROY,23,Anesth correct heart rhythm,,15,no,4,
DAVID L. PARRIS,REDWOOD CITY,8,Anesth correct heart rhythm,,18,no,8,
KYAW O. LWIN,REDWOOD CITY,19,Anesth correct heart rhythm,,23,no,9,
LAWRENCE D. GLUCKSTEIN,WALNUT CREEK,29,Anesth dx arteriography,,40,no,11,
CAROLYN M. GARDUNO,SAN FRANCISCO,21,Anesth dx arteriography,,15,no,6,
GIAN P. NHAN,SONOMA,20,Anesth ear surgery,,12,no,6,
WILLIAM C. SCIBETTA,BURLINGAME,,Anesth ear surgery,,16,no,6,
DAT LY,OAKLAND,,Anesth electroshock,,23,no,8,
FIONA CLEMENTS,SAUSALITO,39,Anesth electroshock,,17,no,4,
NORTON LIN,GREENBRAE,25,Anesth electroshock,,53,no,9,
ERIC Y. LIN,SAN FRANCISCO,11,Anesth electroshock,,17,no,6,
PAUL M. MONASEVITCH,OAKLAND,29,Anesth electroshock,,58,no,11,
DAO G. NGUYEN,OAKLAND,,Anesth electroshock,,14,yes,-5,
PETER M. WRIGHT,SAN RAFAEL,31,Anesth electroshock,,14,no,4,
ALEX LEE,MOUNTAIN VIEW,,Anesth electroshock,,17,no,12,
ZHI-QIANG WANG,MOUNTAIN VIEW,30,Anesth electroshock,,14,no,11,
EMANUEL J. ZUSMER,MOUNTAIN VIEW,7,Anesth electroshock,,31,no,8,
JILL M. KACHER COBB,OAKLAND,,Anesth electroshock,,20,no,7,
KARIN KLIKA,OAKLAND,,Anesth electroshock,,21,no,7,
STEPHEN LICATA,GREENBRAE,21,Anesth hip arthroplasty,,12,no,6,
JOSEPH J. CHUNG,SANTA ROSA,13,Anesth hip arthroplasty,,14,no,5,
RICARDO F. NAVARRO,FREMONT,27,Anesth hip arthroplasty,,18,no,6,
RAY ENGSTROM,WALNUT CREEK,29,Anesth hrt surg w/pmp age 1+,,14,no,4,
ROBERT WEISS,MOUNTAIN VIEW,,Anesth hrt surg w/pmp age 1+,,29,no,14,
STEPHEN Y. WEN,SAN FRANCISCO,28,Anesth hrt surg w/pmp age 1+,,11,no,4,
DAVID L. ROBERTSON,SANTA ROSA,31,Anesth hrt surg w/pmp age 1+,,13,no,5,
BRIAN HITE,OAKLAND,,Anesth hrt surg w/pmp age 1+,,19,no,8,
HEIDI G. NICOLL-MERSON,OAKLAND,,Anesth iridectomy,,31,no,8,
HENRY H. HU,SAN FRANCISCO,30,Anesth kidney stone destruct,,11,no,8,
MILFORD A. ZASSLOW,FREMONT,33,Anesth knee arthroplasty,,39,no,8,
ANDREW A. KNIGHT,WALNUT CREEK,31,Anesth knee arthroplasty,,15,no,6,
ALEX KAO,OAKLAND,15,Anesth knee arthroplasty,,12,no,6,
GODFREY E. WONG,FAIRFIELD,13,Anesth knee arthroplasty,,11,no,7,
HOWARD K. TSUCHIYA,WALNUT CREEK,23,Anesth knee arthroplasty,,15,no,6,
MICHAEL G. HERNANDEZ,WALNUT CREEK,42,Anesth knee joint surgery,,18,no,8,
MATTHEW W. COOK,SAN JOSE,,Anesth knee joint surgery,,18,no,4,
CHARLES E. LOPEZ,CASTRO VALLEY,24,Anesth knee joint surgery,,11,no,9,
RICHARD W. HORRIGAN,SAN FRANCISCO,43,Anesth knee joint surgery,,13,no,7,
DAVID IRA KAUFMAN,LOS ALTOS,,Anesth knee joint surgery,,11,no,3,
GARY GUGLIELMINO,WALNUT CREEK,36,Anesth knee joint surgery,,18,no,8,
JON W. CHURNIN,DALY CITY,,Anesth knee joint surgery,,57,no,15,
JERRY L. ABAJIAN,NAPA,,Anesth knee joint surgery,,20,no,11,
STEVEN S. JACOBS,WALNUT CREEK,,Anesth knee joint surgery,,11,no,6,
